timestamp,humidity in % (SHT31 - Humidity),air temperature in ºC (SHT31 - Temperature),barometric pressure in K Pa (MPL3115A2 - Barometric Pressure),battery in % (Battery SCK 1.1),light in Lux (BH1730FVC),noise in dBA (ICS43432 - Noise),cm in cm (VL6180),external air temperature in °C (DS18B20)
2018-11-03 09:12:48 UTC,42.05,24.22,101.98,100,84.99,49.74,,23.75
2018-11-03 09:13:48 UTC,41.3,24.27,101.98,100,75.34,48.35,,23.75
2018-11-03 10:05:12 UTC,50.9,21.86,102.11,-1,185.37,53.38,,21.75
2018-11-03 10:05:48 UTC,46.48,21.92,102.11,-1,185.43,63.39,,21.69
2018-11-03 10:06:57 UTC,46.17,22.15,102.12,-1,192.01,60.45,,21.62
2018-11-03 10:07:57 UTC,45.84,22.16,102.12,-1,191.68,68.94,,21.62
2018-11-03 10:08:57 UTC,45.85,22.19,102.12,-1,190.33,48.03,,21.62
2018-11-03 10:09:57 UTC,45.89,22.17,102.12,-1,185.53,60.17,,21.56
2018-11-03 10:10:57 UTC,46,22.15,102.12,-1,183.67,58.47,,21.5
2018-11-03 10:11:57 UTC,46.01,22.13,102.12,-1,182.25,55.55,,21.5
2018-11-03 10:12:57 UTC,46.12,22.13,102.12,-1,181.86,61.74,,21.5
2018-11-03 10:13:57 UTC,46.31,22.11,102.12,-1,173.93,61.69,,21.44
2018-11-03 10:14:57 UTC,46,22.12,102.13,-1,176.34,59.25,,21.38
2018-11-03 10:16:57 UTC,45.84,22.32,102.13,-1,176.67,62.54,,21.75
2018-11-03 10:17:57 UTC,46.04,22.3,102.13,-1,168.29,53.74,,22.81
2018-11-03 10:18:57 UTC,45.83,22.36,102.13,-1,165.74,49.79,,22.44
2018-11-03 10:19:57 UTC,45.86,22.36,102.14,-1,164.2,58.17,,21.94
2018-11-03 10:20:57 UTC,45.93,22.36,102.13,-1,165.29,63.37,,21.69
2018-11-03 10:21:57 UTC,46.06,22.34,102.14,-1,165.86,50.84,,26.06
2018-11-03 10:22:57 UTC,46.04,22.34,102.14,-1,135.61,59.93,,26.06
2018-11-03 10:24:12 UTC,45.9,22.43,102.13,-1,131.19,64.52,,24.38
2018-11-03 10:25:12 UTC,45.91,22.42,102.13,-1,132.67,66.08,,24.31
2018-11-03 10:26:12 UTC,46.01,22.44,102.14,-1,133.63,56.32,,23.75
2018-11-03 10:27:12 UTC,45.95,22.49,102.13,-1,136.51,47.26,,23.38
2018-11-03 10:28:12 UTC,45.85,22.49,102.13,-1,138.55,48.28,,23.06
2018-11-03 10:29:12 UTC,45.93,22.56,102.13,-1,131.38,57.77,,22.81
2018-11-03 10:30:12 UTC,46,22.53,102.13,-1,130.35,49.31,,22.62
2018-11-03 10:31:12 UTC,46,22.56,102.13,-1,120.62,53.91,,22.5
2018-11-03 10:32:12 UTC,46.15,22.57,102.13,-1,124.22,52.81,,22.38
2018-11-03 10:33:12 UTC,46.13,22.56,102.13,-1,122.75,68.61,,22.31
2018-11-03 10:34:12 UTC,46.26,22.51,102.13,-1,121.28,62.96,,22.25
2018-11-03 10:35:12 UTC,46.28,22.51,102.13,-1,122.87,51.54,,22.19
2018-11-03 10:36:12 UTC,46.31,22.53,102.13,-1,106.68,67.7,,22.19
2018-11-03 10:37:12 UTC,46.11,22.56,102.13,-1,120.89,61.55,,22.12
2018-11-03 10:38:12 UTC,46.23,22.61,102.13,-1,120.83,49.7,,22.12
2018-11-03 10:39:12 UTC,46.18,22.61,102.13,-1,120.95,49.2,,22.06
2018-11-03 10:40:12 UTC,45.99,22.61,102.13,-1,121.01,50.69,,22.06
2018-11-03 10:41:12 UTC,46.09,22.61,102.13,-1,117.05,49.91,,22.06
2018-11-03 10:42:12 UTC,46.22,22.64,102.13,-1,122.42,49.58,,22
2018-11-03 10:43:12 UTC,46.14,22.61,102.13,-1,121.91,60.94,,22
2018-11-03 10:44:12 UTC,46.09,22.67,102.13,-1,123.38,47.37,,22
2018-11-03 10:45:12 UTC,46.06,22.67,102.13,-1,123.32,52.89,,21.94
2018-11-03 10:46:12 UTC,46.18,22.64,102.12,-1,123.9,64.88,,21.94
2018-11-03 10:47:59 UTC,54.04,23.22,102.12,-1,172.5,56.75,,22.06
2018-11-03 10:48:59 UTC,44.2,23.35,102.12,-1,177.42,57.05,,22.06
2018-11-03 10:49:59 UTC,44.4,23.54,102.11,-1,176.85,59.42,,22
2018-11-03 10:50:59 UTC,44.64,23.43,102.11,-1,176.07,58.14,,22
